kanji,english,components,on_reading,kun_reading
処,dispose,walking legs; wind,ショ,ところ; -こ; お.る
条,twig,walking legs; tree; wood,ジョウ; チョウ; デキ,えだ; すじ
落,fall,flowers; water; water droplets; water pistol; each; walking legs; mouth,ラク,お.ちる; お.ち; お.とす
冗,superfluous,crown; weathercock; wind,ジョウ,
冥,Hades,hades; crown; sun; day; six,メイ; ミョウ,くら.い
軍,army,chariot; crown; vehicle; car,グン,
輝,radiance,ray; small; little; human legs; army; chariot; crown; vehicle; car,キ,かがや.く
運,carry,army; chariot; crown; vehicle; car; road,ウン,はこ.ぶ
冠,crown,beginning; two; human legs; glue,カン,かんむり
夢,dream,flowers; eye; cross-eyed; net; crown; evening,ム; ボウ,ゆめ; ゆめ.みる; くら.い
坑,pit,soil; dirt; ground; whirlwind; top hat; wind,コウ,
高,tall,top hat; mouth; alien; hood; mouth,コウ,たか.い; たか; -だか; たか.まる; たか.める
享,receive,tall; top hat; mouth; children,キョウ; コウ,う.ける
塾,cram school,receive; tall; top hat; mouth; child; children; round; nine; baseball; drop; soil; dirt; ground,ジュク,
熟,mellow,receive; tall; top hat; mouth; child; children; round; nine; baseball; drop; oven-fire; barbecue,ジュク,う.れる
亭,pavilion,tall; top hat; mouth; crown; street; nail; spike,テイ; チン,
京,capital,tall; top hat; mouth; small; little,キョウ; ケイ; キン,みやこ
涼,refreshing,water droplets; water pistol capital; tall; top hat; mouth; small; little,リョウ,すず.しい; すず.む; すず.やか; うす.い; ひや.す; まことに
景,scenery,sun; day; capital; tall; top hat; mouth; small; little,ケイ,
鯨,whale,fish; bound up; rice field; brains; oven-fire; barbecue; capital; tall; top hat; mouth; small; little,ゲイ,くじら
舎,cottage,umbrella; earthenware jar; lidded crock; soil; dirt; ground; mouth,シャ; セキ,やど.る
周,circumference,glass hood; earthenware jar; lidded crock; soil; dirt; ground; mouth,シュウ,まわ.り
週,week,circumference; running track; earthenware jar; lidded crock; soil; dirt; ground; mouth; road,シュウ,
士,gentleman,samurai,シ,
吉,good luck,samurai; mouth,キチ; キツ,よし
壮,robust,turtle; samurai,ソウ,さかん
荘,villa,flowers; robust; turtle; samurai,ソウ; ショウ; チャン,ほうき; おごそ.か
売,sell,samurai; paper punch; Miss World; crown; human legs,バイ,う.る; う.れる
学,study,schoolhouse; owl; crown; child,ガク,まな.ぶ
覚,memorize,schoolhouse; owl; crown; see; telescope; eye; human legs,カク,おぼ.える; さ.ます; さ.める; さと.る
栄,flourish,schoolhouse; owl; crown; tree; wood,エイ; ヨウ,さか.える; は.え; -ば.え; は.える; え
