kanji,english,components,on_reading,kun_reading
書,write,brush; tongue wagging; sun; day,ショ,か.く; -が.き; -がき
津,haven,water; water droplets; water pistol; brush,シン,つ
牧,breed,cow; taskmaster,ボク,まき
攻,aggression,craft; taskmaster,コウ,せ.める
敗,failure,shellfish; clam; oyster; eye; animal legs; eight; taskmaster,ハイ,やぶ.れる
枚,a sheet of,sheet of…; tree; wood; taskmaster,マイ; バイ,
故,happenstance,old; tombstone; gravestone; church; ten; needle; mouth; taskmaster,コ,ゆえ; ふる.い; もと
敬,awe,flowers; phrase; bound up; mouth; taskmaster,ケイ; キョウ,うやま.う
言,say,words; keitai; mouth,ゲン; ゴン,い.う; こと
警,admonish,awe; flowers; phrase; bound up; mouth; taskmaster; say; words; keitai; mouth,ケイ,いまし.める
計,plot,say; words; keitai; mouth; ten; needle,ケイ,はか.る; はか.らう
詮,elucidate,say; words; keitai; mouth; whole; umbrella; king; jewel; ball,セン,せん.ずる; かい; あき.らか
獄,prison,pack of wild dogs; say; words; keitai; mouth; chihuahua; dog; large; drop,ゴク,
訂,revise,say; words; keitai; mouth; street; nail; spike,テイ,
訃,obituary,,フ,"しらせ<span class=""Apple-tab-span"" style=""white-space:pre""> </span>"
討,chastise,say; words; keitai; mouth; glue,トウ,う.つ
訓,instruction,say; words; keitai; mouth; stream; flood,クン; キン,おし.える; よ.む; くん.ずる
詔,imperial edict,say; words; keitai; mouth; summon; seduce; sword; dagger; mouth,ショウ,みことのり
詰,packed,say; words; keitai; mouth; aerosol; good luck; samurai; mouth,キツ; キチ,つ.める; つ.め; -づ.め; つ.まる; つ.む
話,tale,say; words; keitai; mouth; tongue; thousand; mouth,ワ,はな.す; はなし
詠,recitation,say; words; keitai; mouth; eternity; drop; water,エイ,よ.む; うた.う
詩,poem,say; words; keitai; mouth; Buddhist temple; soil; dirt; ground; glue,シ,うた
語,word,say; words; keitai; mouth; I; five; mouth,ゴ,かた.る; かた.らう
読,read,say; words; keitai; mouth; sell; sale; samurai; paper punch; Miss World; crown; human legs,ドク; トク; トウ,よ.む; -よ.み
調,tune,say; words; keitai; mouth; circumference; running track; soil; dirt; ground; mouth,チョウ,しら.べる; しら.べ; ととの.う; ととの.える
談,discuss,say; words; keitai; mouth; inflammation; fire,ダン,
諾,consent,say; words; keitai; mouth; young; flowers; by one’s side; mouth,ダク,
諭,rebuke,say; words; keitai; mouth; meeting of butchers; moon; month; flesh; part of the body; sword; sabre; saber,ユ,さと.す
式,style,arrow; craft,シキ,
試,test,say; words; keitai; mouth; style; arrow; craft,シ,こころ.みる; ため.す
弐,II (two),II; two; arrows; quiver,ニ; ジ,ふた.つ; そえ
域,range,soil; dirt; ground; pope; fiesta; mouth; one; floor,イキ,
賊,burglar,shellfish; clam; oyster; eye; animal legs; eight; ten; needle; fiesta,ゾク,
栽,plantation,Thanksgiving; harvest festival; ten; needle; fiesta; tree; wood,サイ,
載,load,Thanksgiving; harvest festival; ten; needle; fiesta; car; vehicle,サイ,の.せる; の.る
茂,overgrown,flowers; parade,モ,しげ.る
戚,relatives,half-uncle; above; small; little; parade,ソク; セキ,いた.む; うれ.える; みうち
成,turn into,parade; sword; dagger,セイ; ジョウ,な.る; な.す; -な.す
城,castle,soil; dirt; ground; turn into; parade; sword; dagger,ジョウ,しろ
誠,sincerity,say; words; keitai; mouth; turn into; sword; dagger; parade,セイ,まこと
威,intimidate,march; women; woman,イ,おど.す; おど.し; おど.かす
滅,destroy,water; water droplets; water pistol; march; fire,メツ,ほろ.びる; ほろ.ぶ; ほろ.ぼす
減,dwindle,water; water droplets; water pistol; march; mouth,ゲン,へ.る; へ.らす
蔑,revile,flowers; eye; cross-eyed; net; march,ベツ,ないがしろ; なみ.する; くらい; さげす.む
桟,scaffold,tree; wood; float; fiesta,サン; セン,かけはし
銭,coin,metal; gold; float; fiesta,セン; ゼン,ぜに; すき
浅,shallow,water; water droplets; water pistol; float; fiesta,セン,あさ.い
止,stop,footprint,シ,と.まる; -ど.まり; と.める; -と.める; -ど.め; とど.める; とど.め; とど.まる; や.める; や.む; -や.む; よ.す; -さ.す; -さ.し
歩,walk,stop; footprint; few,ホ; ブ; フ,ある.く; あゆ.む
渉,ford,water; water droplets; water pistol; walk; stop; footprint; few,ショウ,わた.る
頻,repeatedly,walk; stop; footprint; few; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ヒン,しき.りに
肯,agreement,stop; footprint; moon; month; flesh; part of the body,コウ,がえんじ.る
企,undertake,umbrella; stop; footprint,キ,くわだ.てる; たくら.む
歴,curriculum,cliff; grove; tree; wood; stop; footprint,レキ; レッキ,
武,warrior,one; arrow; stop; footprint,ブ; ム,たけ.し
賦,levy,shellfish; clam; oyster; eye; animal legs; eight; warrior; one; stop; footprint; arrow,フ; ブ,
正,correct,one; ceiling; stop; footprint,セイ; ショウ,ただ.しい; ただ.す; まさ; まさ.に
証,evidence,say; words; keitai; mouth; correct; one; ceiling; stop; footprint,ショウ,あかし
政,politics,correct; one; ceiling; stop; footprint; taskmaster,セイ; ショウ,まつりごと; まん
定,determine,house; mend,テイ; ジョウ,さだ.める; さだ.まる; さだ.か
錠,lock,metal; gold; determine; determined; house; mend,ジョウ,
走,run,soil; dirt; ground; mend,ソウ,はし.る
超,transcend,run; soil; dirt; ground; mend; summon; seduce; sword; dagger; mouth,チョウ,こ.える; こ.す
赴,proceed,run; soil; dirt; ground; mend; magic wand; augury,フ,おもむ.く
越,surpass,run; soil; dirt; ground; mend; parade,エツ; オツ,こ.す; -こ.す; -ご.し; こ.える; -ご.え
是,just so,sun; day; mend,ゼ; シ,これ; この; ここ
題,topic,just so; sun; day; mend; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ダイ,
堤,dike,soil; dirt; ground; just so; sun; day; mend,テイ,つつみ
建,build,brush; stretch,ケン; コン,た.てる; た.て; -だ.て; た.つ
鍵,key,metal; gold; build; brush; stretch,ケン,かぎ
延,prolong,drop; stop; footprint; stretch,エン,の.びる; の.べる; の.べ; の.ばす
誕,nativity,say; words; keitai; mouth; prolonged; drop; stop; footprint; stretch,タン,
礎,cornerstone,stone; rock; grove; tree; wood; zoo; critters,ソ,いしずえ
婿,bridegroom,woman; zoo; critters; moon; month; flesh; part of the body,セイ,むこ
衣,garment,top hat; scarf; cloth; clothes; clothing,イ; エ,ころも; きぬ; -ぎ
裁,tailor,Thanksgiving; harvest festival; ten; needle; fiesta; top hat; scarf; cloth; clothes; clothing; garment,サイ,た.つ; さば.く
装,attire,turtle; samurai; top hat; scarf; cloth; clothes; clothing; garment,ソウ; ショウ,よそお.う; よそお.い
裏,back,top hat; scarf; computer,リ,うら
壊,demolition,soil; dirt; ground; poltergeist; BernaE; ten; needle; eye; cross-eyed; net; top hat; scarf; cloth; clothes; clothing; garment,カイ; エ,こわ.す; こわ.れる; やぶ.る
哀,pathetic,top hat; scarf; mouth,アイ,あわ.れ; あわ.れむ; かな.しい
遠,distant,earthenware jar; lidded crock; soil; dirt; ground; mouth; scarf; road,エン; オン,とお.い
猿,monkey,pack of wild dogs; earthenware jar; lidded crock; soil; dirt; ground; mouth; scarf,エン,さる
初,first time,cloak; sword; dagger,ショ,はじ.め; はじ.めて; はつ; はつ-; うい-; -そ.める; -ぞ.め
巾,towel,,キン; フク,おお.い; ちきり; きれ; はば
布,linen,by one’s side; towel,フ,ぬの
帆,sail,towel; mediocre; drop; wind,ハン,ほ
幅,hanging scroll,towel; wealth; one; ceiling; mouth; rice field; brains,フク,はば
帽,cap,towel; risk; sun; day; eye,ボウ; モウ,ずきん; おお.う
幕,curtain,graveyard; flowers; sun; day; large; St. Bernard; towel,マク; バク,とばり
幌,canopy,towel; limpid; sun; day; ray; small; little; human legs,コウ,ほろ; とばり
錦,brocade,metal; gold; napkin; white; dove; towel,キン,にしき
市,market,top hat; towel,シ,いち
柿,persimmon,tree; wood; market; top hat; towel,シ,かき; こけら
姉,elder sister,woman; market; top hat; towel,シ,あね; はは
肺,lungs,moon; month; flesh; part of the body; market; top hat; towel,ハイ,
帯,sash,buckle; apron; crown; towel,タイ,お.びる; おび
滞,stagnate,water; water droplets; water pistol; sash; buckle; apron; crown; towel,タイ; テイ,とどこお.る
刺,thorn,tree; wood; belt; sword; sabre; saber,シ,さ.す; さ.さる; さ.し; さし; とげ
制,system,cow; belt; sword; sabre; saber,セイ,
製,made in...,made in…; system; cow; belt; sword; sabre; saber; hat; scarf; cloth; clothes; clothing; garment,セイ,
転,revolve,car; rising cloud; two; elbow; wall,テン,ころ.がる; ころ.げる; ころ.がす; ころ.ぶ; まろ.ぶ; うたた; うつ.る; くる.めく
芸,technique,flowers; rising cloud; two; elbow; wall,ゲイ; ウン,う.える; のり; わざ
雨,rain,weather,ウ,あめ; あま-; -さめ
雲,cloud,rain; weather; rising cloud; two; elbow; wall,ウン,くも; -ぐも
曇,cloudy weather,sun; day; cloud; rain; weather; rising cloud; two; elbow; wall,ドン,くも.る
雷,thunder,rain; weather; rice field; brains,ライ,かみなり
霜,frost,rain; weather; inter; Inter Milan; tree; wood; eye,ソウ,しも
冬,winter,walking legs; ice,トウ,ふゆ
天,heavens,one; ceiling; large,テン,あまつ; あめ; あま-
妖,bewitched,woman; sapling,ヨウ,あや.しい; なま.めく; わざわ.い
沃,irrigate,water; water droplets; water pistol; sapling,ヨウ; ヨク; オク,そそ.ぐ
橋,bridge,tree; wood; angel; heavens; mouth; hood; mouth,キョウ,はし
嬌,attractive,woman; angel; heavens; mouth; hood; mouth,キョウ,なまめか.しい
立,stand up,vase,リツ; リュウ; リットル,た.つ; -た.つ; た.ち-; た.てる; -た.てる; た.て-; たて-; -た.て; -だ.て; -だ.てる
泣,cry,water; water droplets; water pistol; vase; stand up,キュウ,な.く
章,badge,vase; stand up; sunflower; early; sun; day; ten; needle,ショウ,
競,vie,vase; stand up; elder brother; teenager; mouth; human legs,キョウ; ケイ,きそ.う; せ.る
帝,sovereign,vase; stand up; apron; crown; towel,テイ,みかど
諦,renunciation,say; words; keitai; mouth; sovereign; vase; stand up; apron; crown; towel,テイ; タイ,あき.らめる; あきら.める; つまびらか; まこと
童,juvenile,vase; stand up; computer,ドウ,わらべ
瞳,pupil,eye; juvenile; vase; stand up; computer,ドウ; トウ,ひとみ
鐘,bell,metal; gold; juvenile; vase; stand up; computer,ショウ,かね
商,make a deal,vase; stand up; alien; hood; human legs; mouth,ショウ,あきな.う
嫡,legitimate wife,woman; antique; vase; stand up; hood; old; tombstone; gravestone; church; ten; needle; mouth,チャク; テキ,
適,suitable,antique; vase; stand up; hood; old; tombstone; gravestone; church; ten; needle; mouth; road,テキ,かな.う
滴,drip,water; water droplets; water pistol; antique; vase; stand up; hood; old; tombstone; gravestone; church; ten; needle; mouth,テキ,しずく; したた.る
敵,enemy,antique; vase; stand up; hood; old; tombstone; gravestone; church; ten; needle; mouth; taskmaster,テキ,かたき; あだ; かな.う
匕,spoon,sitting on the ground,ヒ,さじ; さじのひ
叱,scold,mouth; diced; seven; spoon; sitting on the ground,シツ; シチ,しか.る
匂,aroma,bound up; spoon; sitting on the ground,,にお.う; にお.い; にお.わせる
頃,about that time,spoon; sitting on the ground; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ケイ; キョウ,ころ; ごろ; しばら.く
北,north,spoon; sitting on the ground,ホク,きた
背,stature,north; spoon; sitting on the ground; moon; month; flesh; part of the body,ハイ,せ; せい; そむ.く; そむ.ける
比,compare,spoon; sitting on the ground,ヒ,くら.べる
昆,descendants,sun; day; compare; spoon; sitting on the ground,コン,
皆,all,compare; spoon; sitting on the ground; white; dove,カイ,みな; みんな
楷,block letters,,カイ,
諧,orderliness,,カイ,かな.う; やわ.らぐ
混,mix,water; water droplets; water pistol; descendants; sun; day; compare; spoon; sitting on the ground,コン,ま.じる; -ま.じり; ま.ざる; ま.ぜる; こ.む
渇,thirst,water; water droplets; water pistol; mexican bandit; muchacho; siesta; sun; day; aroma; bound up; spoon; sitting on the ground,カツ,かわ.く
謁,audience,say; words; keitai; mouth; mexican bandit; muchacho; siesta; sun; day; aroma; bound up; spoon; sitting on the ground,エツ,
褐,brown,cloak; mexican bandit; muchacho; siesta; sun; day; aroma; bound up; spoon; sitting on the ground,カツ,
喝,hoarse,mouth; mexican bandit; muchacho; siesta; sun; day; aroma; bound up; spoon; sitting on the ground,カツ,
葛,kudzu,flowers; mexican bandit; muchacho; siesta; sun; day; aroma; bound up; spoon; sitting on the ground,カツ; カチ,つづら; くず
旨,delicious,spoon; sitting on the ground; sun; day,シ,むね; うま.い
脂,fat,moon; month; flesh; part of the body; delicious; spoon; sun; day,シ,あぶら
詣,visit a shrine,say; words; keitai; mouth; delicious; spoon; sitting on the ground; sun; day,ケイ; ゲイ,けい.する; まい.る; いた.る; もう.でる
壱,I (one),1 (one); samurai; crown; spoon; sitting on the ground,イチ; イツ,ひとつ
毎,every,reclining; lying down; mother,マイ,ごと; -ごと.に
敏,cleverness,every; reclining; lying down; mother; breasts; taskmaster,ビン,さとい
梅,plum,tree; wood; every; reclining; lying down; mother; breasts,バイ,うめ
海,sea,water; water droplets; water pistol; every; reclining; lying down; mother; breasts,カイ,うみ
乞,beg,reclining; lying down; fishhook,コツ; キツ; キ; キケ; コチ,こ.う
乾,drought,mist; ten; needle; early; sun; day; beg; reclining; lying down; fishhook,カン; ケン,かわ.く; かわ.かす; ほ.す; ひ.る; いぬい
腹,abdomen,moon; month; flesh; part of the body; fold back; double back; reclining; lying down; sun; day; walking legs,フク,はら
複,duplicate,cloak; fold back; double back; reclining; lying down; sun; day; walking legs,フク,
欠,lack,yawn,ケツ; ケン,か.ける; か.く; あくび
吹,blow,mouth; lack; yawn,スイ,ふ.く
炊,cook,fire; lack; yawn,スイ,た.く; -だ.き
歌,song,cancan; can; mouth; street; nail; spike; lack; yawn,カ,うた; うた.う
軟,soft,car; lack; yawn,ナン,やわ.らか; やわ.らかい
次,next,ice; lack; yawn,ジ; シ,つ.ぐ; つぎ
茨,briar,flowers; next; ice; lack; yawn,シ; ジ,いばら; かや; くさぶき
資,assets,next; ice; lack; yawn; shellfish; clam; oyster; eye; animal legs; eight,シ,
姿,figure,next; ice; lack; yawn; woman,シ,すがた
諮,consult with,say; words; keitai; mouth; next; ice; lack; yawn; mouth,シ,はか.る
賠,compensation,shellfish; clam; oyster; eye; animal legs; eight; muzzle; vase; stand up; mouth,バイ,
培,cultivate,soil; dirt; ground; muzzle; vase; stand up; mouth,バイ,つちか.う
剖,divide,muzzle; vase; stand up; mouth; sword; sabre; saber,ボウ,
音,sound,vase; stand up; sun; day; tongue wagging,オン; イン; ノン,おと; ね
暗,darkness,sun; day; sound; vase; stand up; sun; day,アン,くら.い; くら.む; くれ.る
韻,rhyme,sound; vase; stand up; sun; day; employee; mouth; shellfish; clam; oyster; eye; animal legs; eight,イン,
識,discriminating,say; words; keitai; mouth; kazoo; sound; vase; stand up; sun; day; fiesta,シキ,し.る; しる.す
鏡,mirror,metal; gold; vase; stand up; sun; day; human legs,キョウ; ケイ,かがみ
境,boundary,soil; dirt; ground; mirror; vase; stand up; sun; day; human legs,キョウ; ケイ,さかい
亡,deceased,perish; top hat; fishhook,ボウ; モウ,な.い; な.き-; ほろ.びる; ほろ.ぶ; ほろ.ぼす
盲,blind,deceased; perish; top hat; fishhook; eye,モウ,めくら
妄,delusion,deceased; perish; top hat; fishhook; woman,モウ; ボウ,みだ.りに
荒,laid waste,wreath; flowers; deceased; perish; top hat; fishhook; stream; flood,コウ,あら.い; あら-; あ.れる; あ.らす; -あ.らし; すさ.む
望,ambition,deceased; perish; top hat; fishhook; moon; month; flesh; part of the body; king; jewel; ball,ボウ; モウ,のぞ.む; もち
